pathway_type,pre_primary_type,syn_count,pct_of_total,rank
T4,Li14,1,0.00011767059294211784,230
T4,Sm32,1,0.00011767059294211784,231
T4,Li05,1,0.00011767059294211784,232
T4,LMt2,1,0.00011767059294211784,233
T4,MTe54,1,0.00011767059294211784,234
T4,LC10a,1,0.00011767059294211784,235
T4,MTe53,1,0.00011767059294211784,236
T4,LC18,1,0.00011767059294211784,237
T4,LC31a,1,0.00011767059294211784,238
T4,Li21,1,0.00011767059294211784,239
T4,LCe04,1,0.00011767059294211784,240
T4,LLPC4,1,0.00011767059294211784,241
T4,LT33,1,0.00011767059294211784,242
T4,MTe39,1,0.00011767059294211784,243
T4,Li01,1,0.00011767059294211784,244
