pathway_type,nt_class,syn_count,pct_of_total
R1-6,exc,13168,48.51342887669012
R1-6,inh,10872,40.05452602881037
L1,exc,133620,73.61415648379739
L1,inh,45478,25.054816708353076
Mi9,exc,179082,51.77620946174507
Mi9,inh,163836,47.36828410099544
T4,inh,439917,51.765294235317654
T4,exc,399844,47.049880564348165
