root_id,pathway_type,in_deg,in_strength,sum_w2,mu2_over_mu1sq,norm_robustness,norm_robustness_shuffled,nt_type,primary_type
720575940599736492,R1-6,2.0,3.0,5.0,1.1111111111111112,0.18588860929979642,0.18588860929979642,ACH,R1-6
720575940599744172,R1-6,2.0,2.0,2.0,1.0,0.0,0.0,,R1-6
720575940600010668,R1-6,2.0,3.0,5.0,1.1111111111111112,0.18588860929979642,0.18588860929979642,ACH,R1-6
720575940601049097,R1-6,1.0,1.0,1.0,1.0,0.0,,GLUT,R1-6
720575940602289198,R1-6,1.0,1.0,1.0,1.0,0.0,,ACH,R1-6
720575940603114869,R1-6,2.0,2.0,2.0,1.0,0.0,0.0,,R1-6
720575940603406258,R1-6,6.0,15.0,59.0,1.5733333333333333,1.3881206246464892,1.3881206246464892,ACH,R1-6
720575940603449010,R1-6,2.0,2.0,2.0,1.0,0.0,0.0,ACH,R1-6
720575940604559811,R1-6,4.0,6.0,12.0,1.3333333333333333,0.5316271119649588,0.5316271119649588,ACH,R1-6
720575940604621251,R1-6,1.0,1.0,1.0,1.0,0.0,,ACH,R1-6
720575940604722244,R1-6,5.0,9.0,17.0,1.0493827160493827,0.0986729008155913,0.0986729008155913,,R1-6
720575940604931908,R1-6,6.0,10.0,18.0,1.08,0.14808926414395565,0.14808926414395565,ACH,R1-6
720575940604934980,R1-6,7.0,13.0,27.0,1.1183431952662721,0.23930977000493928,0.23930977000493928,ACH,R1-6
720575940604984800,R1-6,2.0,2.0,2.0,1.0,0.0,0.0,,R1-6
720575940605160550,R1-6,6.0,8.0,12.0,1.125,0.1878747150503386,0.1878747150503386,ACH,R1-6
720575940605265120,R1-6,2.0,5.0,17.0,1.36,0.9070737180049104,0.9070737180049104,ACH,R1-6
720575940605364448,R1-6,1.0,1.0,1.0,1.0,0.0,,,R1-6
720575940605391328,R1-6,3.0,7.0,27.0,1.653061224489796,1.4634857395562624,1.4634857395562624,ACH,R1-6
720575940605399520,R1-6,1.0,1.0,1.0,1.0,0.0,,,R1-6
720575940605400032,R1-6,1.0,1.0,1.0,1.0,0.0,,ACH,R1-6
720575940605444576,R1-6,3.0,3.0,3.0,1.0,0.0,0.0,,R1-6
720575940605515744,R1-6,3.0,3.0,3.0,1.0,0.0,0.0,ACH,R1-6
720575940605547488,R1-6,5.0,6.0,8.0,1.1111111111111112,0.1528010602955102,0.1528010602955102,,R1-6
720575940605551584,R1-6,8.0,11.0,19.0,1.256198347107438,0.3844062692704233,0.3844062692704233,GLUT,R1-6
720575940605560288,R1-6,5.0,8.0,20.0,1.5625,0.9099019513592784,0.9099019513592784,ACH,R1-6
720575940605561824,R1-6,3.0,3.0,3.0,1.0,0.0,0.0,ACH,R1-6
720575940605571040,R1-6,6.0,8.0,12.0,1.125,0.1878747150503386,0.1878747150503386,ACH,R1-6
720575940605590444,R1-6,6.0,6.0,6.0,1.0,0.0,0.0,GLUT,R1-6
720575940605604576,R1-6,1.0,1.0,1.0,1.0,0.0,,ACH,R1-6
720575940605608160,R1-6,1.0,1.0,1.0,1.0,0.0,,,R1-6
720575940605616096,R1-6,5.0,7.0,11.0,1.1224489795918366,0.19222604434724544,0.19222604434724544,ACH,R1-6
720575940605642412,R1-6,1.0,1.0,1.0,1.0,0.0,,GLUT,R1-6
720575940605675744,R1-6,4.0,4.0,4.0,1.0,0.0,0.0,SER,R1-6
720575940605677484,R1-6,2.0,3.0,5.0,1.1111111111111112,0.18588860929979642,0.18588860929979642,,R1-6
720575940605690796,R1-6,5.0,8.0,16.0,1.25,0.4295974267609939,0.4295974267609939,,R1-6
720575940605698732,R1-6,2.0,4.0,8.0,1.0,0.0,0.0,ACH,R1-6
720575940605718188,R1-6,7.0,8.0,10.0,1.09375,0.12408405037529048,0.12408405037529048,,R1-6
720575940605740460,R1-6,5.0,7.0,11.0,1.1224489795918366,0.19222604434724544,0.19222604434724544,,R1-6
720575940605748960,R1-6,4.0,6.0,10.0,1.1111111111111112,0.18588860929979642,0.18588860929979642,ACH,R1-6
720575940605749472,R1-6,2.0,4.0,10.0,1.25,0.5251910222424425,0.5251910222424425,ACH,R1-6
720575940605756332,R1-6,1.0,1.0,1.0,1.0,0.0,,GLUT,R1-6
720575940605757356,R1-6,1.0,2.0,4.0,1.0,0.0,,,R1-6
720575940605757408,R1-6,1.0,1.0,1.0,1.0,0.0,,ACH,R1-6
720575940605764064,R1-6,3.0,3.0,3.0,1.0,0.0,0.0,,R1-6
720575940605764320,R1-6,5.0,5.0,5.0,1.0,0.0,0.0,,R1-6
720575940605777120,R1-6,2.0,2.0,2.0,1.0,0.0,0.0,ACH,R1-6
720575940605779680,R1-6,5.0,6.0,8.0,1.1111111111111112,0.1528010602955102,0.1528010602955102,,R1-6
720575940605784288,R1-6,3.0,6.0,12.0,1.0,0.0,0.0,GLUT,R1-6
720575940605808044,R1-6,3.0,4.0,6.0,1.125,0.1878747150503386,0.1878747150503386,GLUT,R1-6
720575940605809324,R1-6,2.0,2.0,2.0,1.0,0.0,0.0,,R1-6
720575940605828268,R1-6,3.0,5.0,9.0,1.08,0.14808926414395565,0.14808926414395565,,R1-6
720575940605838178,R1-6,3.0,9.0,41.0,1.5185185185185186,1.501493378620617,1.501493378620617,ACH,R1-6
720575940605844396,R1-6,3.0,3.0,3.0,1.0,0.0,0.0,GLUT,R1-6
720575940605852588,R1-6,2.0,2.0,2.0,1.0,0.0,0.0,SER,R1-6
720575940605853356,R1-6,2.0,2.0,2.0,1.0,0.0,0.0,GABA,R1-6
720575940605861036,R1-6,2.0,2.0,2.0,1.0,0.0,0.0,ACH,R1-6
720575940605861804,R1-6,3.0,5.0,11.0,1.32,0.5621227253450836,0.5621227253450836,,R1-6
720575940605869228,R1-6,2.0,2.0,2.0,1.0,0.0,0.0,,R1-6
720575940605920684,R1-6,1.0,1.0,1.0,1.0,0.0,,ACH,R1-6
720575940605923296,R1-6,2.0,2.0,2.0,1.0,0.0,0.0,ACH,R1-6
720575940605941164,R1-6,1.0,1.0,1.0,1.0,0.0,,ACH,R1-6
720575940605966764,R1-6,7.0,9.0,15.0,1.2962962962962963,0.41565025531986616,0.41565025531986616,ACH,R1-6
720575940605976492,R1-6,4.0,5.0,7.0,1.12,0.17064860733733764,0.17064860733733764,ACH,R1-6
720575940605986732,R1-6,1.0,1.0,1.0,1.0,0.0,,ACH,R1-6
720575940605998508,R1-6,5.0,6.0,8.0,1.1111111111111112,0.1528010602955102,0.1528010602955102,GLUT,R1-6
