pathway_type,n_neurons,median_in_deg,median_in_strength,median_sum_w2,median_mu2_over_mu1sq,median_norm_robustness,mean_norm_robustness,p25_norm_robustness,p75_norm_robustness
R1-6,6644,3.0,3.0,4.0,1.0,0.0,0.14785332069297077,0.0,0.18588860929979642
L1,1594,17.0,111.0,1817.0,2.3957865538047987,7.756976141233391,7.599906152078685,5.916259335633521,9.33895302786479
Mi9,1551,58.0,228.0,4701.0,5.241021773965501,10.75269808004652,10.69199969247847,8.171694674994402,13.40939807689889
T4,6243,46.0,131.0,974.0,2.5252770083102494,3.6866996565407772,3.6661966865444517,2.776158302677511,4.526731531460044
